FIPS,County,Year,Population
53065,Stevens,2018,44439
53067,Thurston,2018,275222
53069,Wahkiakum,2018,4139
53071,Walla Walla,2018,60340
53073,Whatcom,2018,216800
53075,Whitman,2018,48851
53077,Yakima,2018,249636
53001,Adams,2019,19506
53003,Asotin,2019,22535
53005,Benton,2019,198171
53007,Chelan,2019,76533
53009,Clallam,2019,75474
53011,Clark,2019,474643
53013,Columbia,2019,4047
53015,Cowlitz,2019,106910
53017,Douglas,2019,41945
53019,Ferry,2019,7594
53021,Franklin,2019,92125
53023,Garfield,2019,2210
53025,Grant,2019,95158
53027,Grays Harbor,2019,72697
53029,Island,2019,83159
53031,Jefferson,2019,31234
53033,King,2019,2188649
53035,Kitsap,2019,266414
53037,Kittitas,2019,46205
53039,Klickitat,2019,21811
53041,Lewis,2019,78200
53043,Lincoln,2019,10579
53045,Mason,2019,63710
53047,Okanogan,2019,41742
53049,Pacific,2019,21626
53051,Pend Oreille,2019,13354
53053,Pierce,2019,876764
53055,San Juan,2019,16715
53057,Skagit,2019,125619
53059,Skamania,2019,11837
53061,Snohomish,2019,801633
53063,Spokane,2019,506152
53065,Stevens,2019,44730
53067,Thurston,2019,280588
53069,Wahkiakum,2019,4264
53071,Walla Walla,2019,60567
53073,Whatcom,2019,221404
53075,Whitman,2019,49046
53077,Yakima,2019,250193
53001,Adams,2020,19759
53003,Asotin,2020,22610
53005,Benton,2020,201877
53007,Chelan,2020,77036
53009,Clallam,2020,76737
53011,Clark,2020,481857
53013,Columbia,2020,4059
53015,Cowlitz,2020,108987
53017,Douglas,2020,42907
53019,Ferry,2020,7649
53021,Franklin,2020,94347
53023,Garfield,2020,2247
53025,Grant,2020,97331
53027,Grays Harbor,2020,73901
53029,Island,2020,84460
53031,Jefferson,2020,31729
53033,King,2020,2233163
53035,Kitsap,2020,269805
53037,Kittitas,2020,47364
53039,Klickitat,2020,22107
53041,Lewis,2020,79604
53043,Lincoln,2020,10740
53045,Mason,2020,65507
53047,Okanogan,2020,42132
53049,Pacific,2020,22036
53051,Pend Oreille,2020,13602
53053,Pierce,2020,891299
53055,San Juan,2020,17128
53057,Skagit,2020,128206
53059,Skamania,2020,11924
53061,Snohomish,2020,814901
53063,Spokane,2020,514631
53065,Stevens,2020,45260
53067,Thurston,2020,286419
53069,Wahkiakum,2020,4426
53071,Walla Walla,2020,60922
53073,Whatcom,2020,225685
53075,Whitman,2020,49791
53077,Yakima,2020,251446
