FIPS,County,Year,Physically Unhealthy Days,Mentally Unhealthy Days,% Smokers,% Obese,% Physically Inactive,% Exercise Access,% Excessive Drinking,Teen Birth Rate,% Uninsured,Preventable Hospitalization Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Injury Death Rate
53061,Snohomish,2015,3.7,3.6,15.6,28.1,18.1,94.719171217,18.4,21.926294481,14.90173815,35.72,67.921862254,5.8381234768,14.5,120863,31250,3.867616,26.188824438,56.867603535
53063,Spokane,2015,3.8,3.6,18.7,28.2,19.4,87.093953792,17.4,28.012506338,14.953671241,40.07,68.687133879,7.8739702911,20.2,93506,20401,4.5834027744,29.611664044,83.318624626
53065,Stevens,2015,4.1,3.7,22.4,28.8,22.7,51.000436471,17.8,34.899953467,17.79749922,44.96,56.539093684,10.864430798,26.9,82985,20155,4.1173406103,26.172496025,99.305322489
53067,Thurston,2015,3.6,3.6,19.1,29.2,17.7,89.756366346,15.9,23.706896552,14.662577247,34.04,70.531054947,7.0284414469,16.3,110099,27150,4.0552117864,30.934339046,60.168614814
53069,Wahkiakum,2015,4.4,4.3,15.3,31.8,23.4,60.583207642,18.1,31.900138696,16.241704506,35.33,48.660084626,11.009174312,27.0,68564,15852,4.3252586424,40.547945205,135.06753377
53071,Walla Walla,2015,3.3,2.8,12.9,27.1,17.5,80.92580936,14.1,31.354916067,18.252317823,32.06,64.663167733,7.0014386518,22.6,91735,19083,4.8071582036,31.358778626,71.966738406
53073,Whatcom,2015,3.4,3.4,13.8,25.1,16.2,86.784826489,17.4,19.397886763,18.145587163,35.5,71.167016073,6.879959887,17.1,98248,20556,4.7795290913,26.112232151,45.100622071
53075,Whitman,2015,2.9,3.0,11.2,26.1,17.2,78.48624263,16.7,4.4552830277,15.248953916,47.27,85.650177416,6.1816972346,16.6,90419,12059,7.498051248,23.736555179,40.895068588
53077,Yakima,2015,4.2,3.6,15.7,31.3,22.8,72.247369784,13.8,66.661569047,25.335052026,56.82,40.469036753,9.1875547836,29.0,85075,19679,4.3231363382,40.075749259,60.714801295
53001,Adams,2016,4.6,4.0,15.8,33.2,24.6,44.526911576,18.2,89.035769829,24.437393501,29.31,37.090599745,7.7688077688,27.1,81225,21337,3.8067675868,29.462528388,47.754478309
53003,Asotin,2016,3.8,3.7,14.0,32.4,23.6,73.232206447,17.8,39.586540576,14.738339022,39.47,63.67983368,5.9784283513,24.2,83339,18852,4.4206980692,36.545138889,86.263065643
53005,Benton,2016,3.6,3.6,13.8,31.4,18.1,82.315600792,20.6,38.763448308,16.381293607,46.31,65.623584723,7.6586287365,21.3,114297,25489,4.4841696418,29.929300864,47.994039342
53007,Chelan,2016,3.6,3.5,14.0,26.4,17.4,83.458241895,18.9,38.705218293,21.043292533,26.04,47.2163371,6.3549804688,20.2,96865,22099,4.3832300104,26.592197399,77.752194994
53009,Clallam,2016,3.7,3.6,13.8,27.3,19.5,78.966164361,17.7,30.995738086,18.240551924,25.29,60.088938299,8.5972010839,26.2,87897,21042,4.1772169946,36.502113406,94.283307391
53011,Clark,2016,3.5,3.6,14.2,30.0,18.5,96.033975687,19.1,25.675675676,15.219611049,50.82,64.369802819,7.8522227381,13.6,107890,27833,3.8763338483,27.13569632,59.432381444
53013,Columbia,2016,4.0,3.8,15.2,32.2,25.1,65.841098578,16.9,29.177718833,16.649983317,34.35,70.7250342,7.7097505669,25.7,77536,17934,4.3234080517,30.174563591,54.639380091
53015,Cowlitz,2016,3.9,3.9,17.0,32.4,22.0,79.038179865,19.4,42.629599899,16.997975005,38.08,57.860922147,8.3931166001,26.8,88952,19326,4.6027113733,35.544625215,79.47227279
53017,Douglas,2016,3.9,3.7,14.4,29.4,19.7,71.666102886,18.9,40.153161544,22.775010502,26.76,50.684059815,7.1999170038,24.4,92966,26233,3.543856974,31.60244589,51.504444834
53019,Ferry,2016,4.6,4.3,18.7,27.4,19.5,66.852072573,16.8,32.160194175,23.603305785,46.05,57.692307692,11.700404858,29.1,74763,13842,5.4011703511,40.47954866,154.73786357
53021,Franklin,2016,4.4,3.8,15.3,31.5,19.1,54.823893658,19.4,66.286771868,22.983405343,42.26,42.619441864,8.4654009101,24.9,95396,23228,4.1069399001,35.060986389,38.425861339
53023,Garfield,2016,3.7,3.7,14.2,31.5,29.7,74.360105914,17.1,0.0,14.746543779,33.32,68.0,6.7778936392,20.7,84761,25269,3.3543472239,22.857142857,0.0
53025,Grant,2016,4.1,3.8,16.4,35.0,28.8,52.621184919,19.2,64.097103918,22.767246679,31.33,44.474885845,7.6528555431,20.9,85345,20944,4.0749140565,27.175088301,66.692368709
53027,Grays Harbor,2016,4.1,3.9,17.5,36.5,27.6,72.707666525,18.3,41.601460616,21.712107991,52.58,54.049275021,10.360804057,28.6,84601,19232,4.3989704659,40.022706024,84.031049889
53029,Island,2016,3.4,3.6,14.0,26.3,18.0,85.927190278,20.3,21.19118131,14.264142177,33.72,69.046004295,6.8691205253,15.4,107194,27415,3.9100492431,22.638341835,62.229650269
53031,Jefferson,2016,3.5,3.5,12.5,23.3,15.0,74.066014997,16.3,22.771633051,17.940588264,26.22,67.676767677,8.2168458781,24.5,88931,19407,4.5824187149,28.219512195,81.638115632
53033,King,2016,3.0,3.0,10.4,22.3,14.7,98.061461779,21.2,17.042817652,13.665104503,29.77,78.215079694,4.6017005346,13.6,143315,30376,4.7180339742,25.244270234,47.988458441
53035,Kitsap,2016,3.5,3.4,13.3,29.5,19.1,90.303942532,19.4,23.102251491,13.633888865,30.85,71.086973884,6.2952946583,14.4,113983,28703,3.9711180016,27.540087057,54.609129222
53037,Kittitas,2016,3.9,3.8,15.7,27.5,16.4,72.14224612,20.9,11.401025327,19.34033427,35.58,67.059593975,7.1189321602,18.7,90269,16430,5.4941570298,25.870779048,58.126298759
53039,Klickitat,2016,3.9,3.7,15.2,25.7,21.9,67.358992027,18.1,31.641247439,19.681586062,38.68,60.077854671,8.3221890752,22.6,79325,23163,3.4246427492,34.002306805,91.489527369
53041,Lewis,2016,3.9,3.8,15.3,33.1,22.4,60.005301173,18.5,40.355269433,18.129215712,37.78,55.156102176,9.228983264,24.5,82478,19983,4.1274082971,32.145428366,77.906798031
53043,Lincoln,2016,3.3,3.5,12.8,33.0,27.3,36.281929991,18.2,23.734885804,15.303030303,65.56,52.944214876,6.0618066561,17.7,90811,21922,4.1424596296,19.663648124,84.043244069
53045,Mason,2016,3.8,3.8,15.5,32.7,23.9,67.673273036,19.3,40.752351097,20.127774628,39.18,55.021641846,8.5351193543,23.6,87684,20564,4.2639564287,34.577050856,77.790230074
53047,Okanogan,2016,4.5,4.2,17.9,28.9,26.0,71.984435798,16.6,56.448929799,26.207915122,32.38,49.049773756,7.376740685,31.5,75945,16763,4.5305136312,34.680382072,96.257620395
53049,Pacific,2016,4.0,3.9,15.0,35.3,27.3,65.956022945,15.9,37.333333333,20.841493888,45.31,52.913816689,10.129096326,28.8,75542,16951,4.4564922423,37.727910238,108.70715447
53051,Pend Oreille,2016,4.1,4.0,15.8,27.0,21.1,65.725713407,16.7,36.889692586,16.837905237,42.13,59.912940245,10.296344365,33.1,75466,16624,4.5395813282,32.20653789,106.3895399
53053,Pierce,2016,3.6,3.8,16.7,31.0,20.4,89.648338521,20.0,30.781624303,14.832646224,44.08,62.896992177,7.2080332374,17.5,109270,26841,4.0710107671,31.735587852,57.379790208
53055,San Juan,2016,3.3,3.4,12.1,17.9,14.3,84.583676834,17.8,14.936519791,21.868944865,15.24,64.976958525,5.2109181141,19.6,106244,23964,4.4334835587,35.775862069,54.412471845
53057,Skagit,2016,3.6,3.5,14.9,28.4,19.0,72.861652167,18.9,39.348053111,18.646750318,39.14,57.382083051,7.3574104177,23.2,103307,24138,4.2798492004,33.188211654,74.410576495
53059,Skamania,2016,3.7,3.8,14.9,30.1,22.6,61.476594976,18.8,29.54833263,15.693820825,44.01,64.772727273,8.7183607875,20.1,102100,18624,5.4821735395,25.200168563,89.897337241
53061,Snohomish,2016,3.3,3.3,12.9,28.6,19.2,94.684404943,17.7,20.702792427,14.533289055,29.02,68.698540262,5.1422543655,13.1,122734,31470,3.9000317763,26.556492098,56.807731375
53063,Spokane,2016,3.6,3.6,15.5,28.4,18.9,87.231468886,20.6,26.622765757,16.535812689,36.93,69.706419783,7.1456821505,20.5,94819,20819,4.5544454585,29.728770501,81.871345029
53065,Stevens,2016,3.8,3.8,17.0,30.3,22.8,51.751625279,18.9,32.602585722,19.005512173,40.88,57.665712923,9.4465322856,28.2,81848,20001,4.0921953902,29.278870398,99.750394175
53067,Thurston,2016,3.5,3.5,14.3,28.6,17.2,89.533187454,19.2,23.403088571,13.888323311,31.34,70.67507216,6.6472274791,15.6,109716,28088,3.9061520934,31.415821642,61.273408357
53069,Wahkiakum,2016,3.9,4.0,14.0,33.4,24.0,52.689793866,16.6,32.624113475,18.857948537,28.04,46.915351506,9.9337748344,26.7,70806,17463,4.0546297887,41.374045802,115.00575029
53071,Walla Walla,2016,3.9,3.7,14.1,26.1,19.6,75.609465644,20.3,29.494298167,18.419848825,25.24,63.571889104,6.5165918649,20.8,91625,19664,4.6595301058,29.352968106,71.7656378
53073,Whatcom,2016,3.7,3.6,13.6,23.3,16.3,87.008054092,21.8,18.298978248,18.680169841,34.77,71.009291383,6.6446128475,17.7,99007,20879,4.7419416639,27.061787642,44.967789484
53075,Whitman,2016,4.1,3.9,17.6,24.2,16.0,78.178041808,22.6,4.2645899968,16.000780118,38.23,84.460865945,5.5034226393,16.7,89632,11660,7.687135506,20.494441194,44.789096051
53077,Yakima,2016,4.5,3.9,16.9,29.1,24.3,69.278587022,18.9,63.382871151,26.952485363,47.64,40.656847972,8.9240516938,30.3,85020,20063,4.2376513981,39.641507632,61.356359534
53001,Adams,2017,4.5074977939,3.9977218612,16.202501297,34.4,23.6,44.526911576,16.341285735,85.758039816,18.19569173,30.04,38.565310493,6.8090017311,21.5,81256,21765,3.7333333333,31.819539886,43.96432609
53003,Asotin,2017,4.2212134493,3.8208203153,15.523898987,33.4,21.9,73.232206447,17.818767792,40.098566308,10.539271811,33.42,63.642078793,4.6982625681,24.4,87385,19685,4.4391668783,34.334485739,75.30052166
53005,Benton,2017,3.5089676499,3.4829997298,13.732919071,31.5,18.8,82.315600792,20.438147444,36.317879571,10.910262264,47.09,64.679250096,6.5750136388,19.7,113902,25402,4.4839776396,31.101362741,54.416204994
53007,Chelan,2017,3.8352371084,3.7531706204,13.140023043,26.7,17.3,83.458241895,16.786767029,37.225042301,13.355557015,27.84,47.656615241,5.4602982575,18.3,97364,22265,4.3729620481,26.045194603,77.013595862
53009,Clallam,2017,3.772686644,3.9193479842,14.899868551,26.3,18.8,78.966164361,16.421717614,30.682629034,13.258210536,26.54,59.777558778,7.9949333135,24.2,86709,20699,4.1890429489,35.792262,95.523640721
53011,Clark,2017,3.5110495016,3.6999944222,14.722554469,29.9,17.2,96.033975687,18.844610333,24.024584209,10.27850068,39.57,65.018185535,6.3575042159,14.5,110130,28570,3.8547427371,27.494642111,63.341606676
53013,Columbia,2017,3.9961928213,3.8781437103,16.729086442,30.0,22.3,65.841098578,15.278469537,25.348542459,11.683848797,37.71,76.756756757,6.3916327716,25.2,79912,18399,4.3432795261,20.261437908,79.976007198
53015,Cowlitz,2017,4.1807106097,3.9569598769,17.375231532,32.1,21.1,79.038179865,18.073951771,38.041139513,11.224661959,35.74,56.684266103,7.5865028458,22.8,90854,20180,4.5021803766,34.423052618,81.260316251
53017,Douglas,2017,3.9351092083,3.6935987175,16.545058978,28.7,18.9,71.666102886,18.360834324,36.180800332,16.263360154,22.92,51.741502308,6.2651453958,21.0,94611,26292,3.5984710178,33.824095458,59.556856609
53019,Ferry,2017,4.7602070823,4.3592759692,19.465801544,28.1,19.5,66.852072573,17.011844168,29.120198265,16.478326868,40.69,54.912891986,10.166059133,30.5,75713,14679,5.1579126644,41.371841155,130.58580793
53021,Franklin,2017,4.0407692587,3.9455962667,15.846463696,30.1,17.3,54.823893658,18.487403133,60.353403761,17.462381093,41.07,43.551128503,7.4835695215,21.3,95444,24576,3.8836263021,34.342801448,37.914341331
53023,Garfield,2017,3.705516458,3.6944892606,16.064825713,33.1,27.5,74.360105914,17.467203771,0.0,8.7687687688,37.31,75.369458128,6.1488673139,22.4,79600,20660,3.8528557599,23.170731707,0.0
53025,Grant,2017,4.4235625771,3.8762148474,16.238045384,34.3,25.9,52.621184919,17.892447903,60.199110358,16.652979968,30.86,45.231785202,7.0844506968,20.6,86399,21883,3.9482246493,27.107563389,58.750585338
53027,Grays Harbor,2017,4.0467564982,4.0520604546,18.699907509,36.9,25.5,72.707666525,17.969885164,38.278792746,14.36343852,42.67,56.163152851,8.9486788807,24.9,85370,18902,4.5164532854,39.710998127,85.652865172
53029,Island,2017,3.275367248,3.3397042851,13.917210381,27.4,18.7,85.927190278,18.242656617,20.155563071,10.006006607,30.81,70.284817224,6.035131744,12.7,107770,26776,4.0248730206,24.766108842,72.325530408
